Date,WPAtt
2022-01-01,90.0
2022-01-02,150.0
2022-01-03,621.0
2022-01-04,575.0
2022-01-05,629.0
2022-01-06,
2022-01-07,554.0
2022-01-08,289.0
2022-01-09,168.0
2022-01-10,658.0
2022-01-11,625.0
2022-01-12,697.0
2022-01-13,662.0
2022-01-14,679.0
2022-01-15,291.0
2022-01-16,226.0
2022-01-17,651.0
2022-01-18,652.0
2022-01-19,632.0
2022-01-20,745.0
2022-01-21,715.0
2022-01-22,269.0
2022-01-23,198.0
2022-01-24,699.0
2022-01-25,711.0
2022-01-26,660.0
2022-01-27,735.0
2022-01-28,652.0
2022-01-29,310.0
2022-01-30,166.0
2022-01-31,709.0
2022-02-01,620.0
2022-02-02,703.0
2022-02-03,756.0
2022-02-04,700.0
2022-02-05,293.0
2022-02-06,174.0
2022-02-07,717.0
2022-02-08,705.0
2022-02-09,750.0
2022-02-10,730.0
2022-02-11,714.0
2022-02-12,273.0
2022-02-13,164.0
2022-02-14,759.0
2022-02-15,731.0
2022-02-16,741.0
2022-02-17,800.0
2022-02-18,816.0
2022-02-19,330.0
2022-02-20,216.0
2022-02-21,712.0
2022-02-22,728.0
2022-02-23,733.0
2022-02-24,552.0
2022-02-25,686.0
2022-02-26,258.0
2022-02-27,186.0
2022-02-28,698.0
2022-03-01,688.0
2022-03-02,754.0
2022-03-03,509.0
2022-03-04,624.0
2022-03-05,258.0
2022-03-06,186.0
2022-03-07,698.0
2022-03-08,688.0
2022-03-09,754.0
2022-03-10,509.0
2022-03-11,624.0
2022-03-12,258.0
2022-03-13,186.0
2022-03-14,698.0
2022-03-15,688.0
2022-03-16,751.0
2022-03-17,726.0
2022-03-18,674.0
2022-03-19,337.0
2022-03-20,362.0
2022-03-21,698.0
2022-03-22,713.0
2022-03-23,779.0
2022-03-24,825.0
2022-03-25,704.0
2022-03-26,336.0
2022-03-27,263.0
2022-03-28,541.0
2022-03-29,688.0
2022-03-30,652.0
2022-03-31,688.0
2022-04-01,677.0
2022-04-02,424.0
