Date,WPAtt,headcount
2021-12-01,579.0,750
2021-12-02,504.0,750
2021-12-03,571.0,750
2021-12-04,25.0,750
2021-12-05,14.0,750
2021-12-06,625.0,750
2021-12-07,588.0,750
2021-12-08,639.0,750
2021-12-09,631.0,750
2021-12-10,552.0,750
2021-12-11,23.0,750
2021-12-12,12.0,750
2021-12-13,508.0,750
2021-12-14,619.0,750
2021-12-15,567.0,750
2021-12-16,557.0,750
2021-12-17,491.0,750
2021-12-18,18.0,750
2021-12-19,9.0,750
2021-12-20,417.0,750
2021-12-21,475.0,750
2021-12-22,411.0,750
2021-12-23,337.0,750
2021-12-24,265.0,750
2021-12-25,5.0,750
2021-12-26,6.0,750
2021-12-27,238.0,750
2021-12-28,299.0,750
2021-12-29,254.0,750
2021-12-30,262.0,750
2021-12-31,222.0,750
2022-01-01,6.0,740
2022-01-02,7.0,740
2022-01-03,488.0,740
2022-01-04,436.0,740
2022-01-05,442.0,740
2022-01-06,457.0,740
2022-01-07,437.0,740
2022-01-08,17.0,740
2022-01-09,11.0,740
2022-01-10,532.0,740
2022-01-11,619.0,740
2022-01-12,516.0,740
2022-01-13,540.0,740
2022-01-14,526.0,740
2022-01-15,21.0,740
2022-01-16,12.0,740
2022-01-17,529.0,740
2022-01-18,588.0,740
2022-01-19,574.0,740
2022-01-20,509.0,740
2022-01-21,496.0,740
2022-01-22,24.0,740
2022-01-23,13.0,740
2022-01-24,587.0,740
2022-01-25,455.0,740
2022-01-26,522.0,740
2022-01-27,568.0,740
2022-01-28,511.0,740
2022-01-29,23.0,740
2022-01-30,10.0,740
2022-01-31,545.0,740
2022-02-01,468.0,762
2022-02-02,604.0,762
2022-02-03,595.0,762
2022-02-04,532.0,762
2022-02-05,20.0,762
2022-02-06,13.0,762
2022-02-07,579.0,762
2022-02-08,613.0,762
2022-02-09,573.0,762
2022-02-10,617.0,762
2022-02-11,521.0,762
2022-02-12,22.0,762
2022-02-13,11.0,762
2022-02-14,639.0,762
2022-02-15,648.0,762
2022-02-16,574.0,762
